id,prompt,topic_composition,dominant_topic,topic_label
u185p6,How does quantum computing work and why is it important?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.5373, 24: 0.0}",23,Star Collapse Explanation
u601p5,How should a tech company implement wellness programs to ensure long-term success,"{0: 0.0254, 1: 0.0238, 2: 0.0238, 3: 0.3181, 4: 0.0194, 5: 0.4592, 6: 0.0133, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",5,Career and Education Planning
u998p5,How do I balance ambition with contentment as I get older?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.6428, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",13,General Knowledge Questions
u712p4,phishing email warning for shein,"{0: 0.036, 1: 0.2443, 2: 0.0338, 3: 0.2405, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.2172, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",1,Romantic Poem Writing
u166p7,Mary is 15th from the front and 15th from the back in a queue. How many people are in the queue?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.5417, 22: 0.0067, 23: 0.0039, 24: 0.0}",21,Coffee Comparison
u587p10,"January is so dreary and dull, I wish it was Spring already","{0: 0.0299, 1: 0.0279, 2: 0.2024, 3: 0.0248, 4: 0.0227, 5: 0.1906, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.358, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",14,Health After Surgery
u736p9,When are the rockets playing the lakers again?,"{0: 0.4571, 1: 0.0337, 2: 0.2444, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",0,Document Summarization
u700p8,rephrase the last more on research,"{0: 0.3124, 1: 0.0427, 2: 0.0428, 3: 0.3047, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",0,Document Summarization
u477p4,What is the difference between Microprocessors and microchips? Make the answer in lame man terms,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.4316, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.2172, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",16,Political Leadership Q&A
u521p3,"Could you please help me with this, I want to disable the ""Ctrl-W"" shortcut in Microsoft Edge","{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.2295, 7: 0.016, 8: 0.0125, 9: 0.4349, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",9,Programming Code Examples
u406p7,what is naked head looking for in bigfoot,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.2224, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.4286, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",17,Science Facts
u739p2,I have used it to generate images but that was mostly for fun and playing around with the technology.,"{0: 0.0299, 1: 0.0279, 2: 0.2024, 3: 0.0248, 4: 0.3715, 5: 0.0162, 6: 0.19, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",4,YouTube Video Metadata
u10p10,gdbye message for collegue,"{0: 0.036, 1: 0.2443, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.4316, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",16,Political Leadership Q&A
u559p9,"Debug this kotlin code:  class MainActivity : AppCompatActivity() {     private lateinit var binding: ActivityMainBinding     private lateinit var navController: NavController     private lateinit var drawerLayout: DrawerLayout     private lateinit var appBarConfiguration: AppBarConfiguration     override fun onCreate(savedInstanceState: Bundle?) {         super.onCreate(savedInstanceState)         binding = ActivityMainBinding.inflate(layoutInflater)         setContentView(binding.root)          navController = findNavController(R.id.fragmentContainerView)         drawerLayout = binding.drawerLayout         appBarConfiguration = AppBarConfiguration(navController.graph,drawerLayout)          binding.navigationView.setupWithNavController(navController)     } }","{0: 0.0064, 1: 0.0059, 2: 0.006, 3: 0.0053, 4: 0.0048, 5: 0.0034, 6: 0.0033, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.9649, 24: 0.0}",23,Star Collapse Explanation
u441p6,Correct these lines of codes,"{0: 0.2466, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.238, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.2243, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",0,Document Summarization
u552p3,Provide latest EPL transfer market update,"{0: 0.036, 1: 0.0337, 2: 0.2444, 3: 0.2405, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.2224, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",2,Travel Booking
u839p10,What is the cargo size of the 2025 Nissan Rogue Platinum?,"{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.1858, 10: 0.0118, 11: 0.534, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",11,Percentage and Interest Calculation
u857p7,Explain to me the process of making tacos,"{0: 0.3124, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.2826, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",0,Document Summarization
u357p1,"What's the best filtered water pitcher? Preferably one that eliminates any of the following: PFAS, PFOAS, microplastics and/or nanoplastics","{0: 0.0176, 1: 0.0165, 2: 0.0165, 3: 0.0146, 4: 0.0134, 5: 0.0095, 6: 0.0092, 7: 0.0078, 8: 0.0061, 9: 0.0067, 10: 0.007, 11: 0.0065, 12: 0.0058, 13: 0.0054, 14: 0.0055, 15: 0.0053, 16: 0.0051, 17: 0.0037, 18: 0.2093, 19: 0.0032, 20: 0.0033, 21: 0.0032, 22: 0.6189, 23: 0.0, 24: 0.0}",22,TypeScript Module Fixing
u327p8,Can you explain the details surrounding the assassination of U.S. President John F. Kennedy in 3 or more sentences,"{0: 0.3786, 1: 0.2023, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.19, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",0,Document Summarization
u920p5,I am teaching a finance course each Wednesday for 10 weeks. Please create a folder or container I can use to keep course content.,"{0: 0.0221, 1: 0.0207, 2: 0.0208, 3: 0.0184, 4: 0.0169, 5: 0.3999, 6: 0.0116, 7: 0.0098, 8: 0.0077, 9: 0.267, 10: 0.0088, 11: 0.0081, 12: 0.0073, 13: 0.0069, 14: 0.1362, 15: 0.0066, 16: 0.0064, 17: 0.0046, 18: 0.0048, 19: 0.0041, 20: 0.0041, 21: 0.004, 22: 0.0033, 23: 0.0, 24: 0.0}",5,Career and Education Planning
u172p2,create an html page with an interactive musical keyboard,"{0: 0.2042, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.3715, 5: 0.0162, 6: 0.19, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",4,YouTube Video Metadata
u357p9,"I want to create EDM music at home. The genres I'm interested in is 1. Melodic, Progressive and Deep house. 2. LoFi 3. Dubstep.  As a beginner, what knowledge, programs and equipment do I need to start this hobby.? I plan on taking it seriously and playing professionally would be my goal and dream. Let's start off with how to produce Melodic or Progressive house music. I want to create music that's similar to Deadmau5, Kaskade, Shingo Nakamura, Vintage & Morelli and Morgan Page.","{0: 0.045, 1: 0.39, 2: 0.39, 3: 0.0055, 4: 0.005, 5: 0.0036, 6: 0.0418, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0405, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0787, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",2,Travel Booking
u47p8,Summarise this article and extract any information necessary for my presentation,"{0: 0.7678, 1: 0.0238, 2: 0.0238, 3: 0.0212, 4: 0.0194, 5: 0.0138, 6: 0.0133, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",0,Document Summarization
u887p6,"give me a killer keyword list with some possible related domains to cover the niche, keep it tight with nothing but an excellent strategy","{0: 0.0176, 1: 0.0165, 2: 0.0165, 3: 0.0147, 4: 0.1164, 5: 0.0096, 6: 0.7302, 7: 0.0078, 8: 0.0061, 9: 0.0068, 10: 0.007, 11: 0.0065, 12: 0.0058, 13: 0.0055, 14: 0.0055, 15: 0.0053, 16: 0.0051, 17: 0.0037, 18: 0.0039, 19: 0.0033, 20: 0.0033, 21: 0.0032, 22: 0.0, 23: 0.0, 24: 0.0}",6,Decision Strategy
u906p8,Can you give me all the books you've mentioned in a similar format to the above?  And order them by their rating please.,"{0: 0.1739, 1: 0.0238, 2: 0.3208, 3: 0.0212, 4: 0.0194, 5: 0.0138, 6: 0.1618, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.1585, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",2,Travel Booking
u477p1,"Hello Chatgpt, help me summarize this passage","{0: 0.2466, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.2243, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.221, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",0,Document Summarization
u618p6,"o you have a quick, healthy recipe for dinner for two?","{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.7078, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",8,Healthy Meal Planning
u291p6,longest road you can drive,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.2842, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.2767, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",9,Programming Code Examples
u746p2,I have an adsl modem a switch and a smart phone. how do I create a wored and wireless network,"{0: 0.1345, 1: 0.0184, 2: 0.0184, 3: 0.0164, 4: 0.015, 5: 0.0107, 6: 0.0103, 7: 0.6976, 8: 0.0068, 9: 0.0075, 10: 0.0078, 11: 0.0072, 12: 0.0064, 13: 0.0061, 14: 0.0061, 15: 0.0059, 16: 0.0057, 17: 0.0041, 18: 0.0043, 19: 0.0036, 20: 0.0036, 21: 0.0036, 22: 0.0, 23: 0.0, 24: 0.0}",7,Home Network Troubleshooting
u904p10,Can you help me write a business plan,"{0: 0.0457, 1: 0.0427, 2: 0.3095, 3: 0.038, 4: 0.3015, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u80p1,Compose not more than # sentences the meaning of nanotechnology,"{0: 0.2042, 1: 0.3767, 2: 0.028, 3: 0.1992, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u458p1,How does gender inequality manifest in the workplace?,"{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.1906, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.3605, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.1799, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",10,Political Policy Analysis
u135p5,"check this for typos, do not rewrite, british english","{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.3047, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.2842, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",3,Professional Email Drafting
u845p4,provide the recipe for velvet cupcakes,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.6442, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",8,Healthy Meal Planning
u189p2,Goals the Plan Should Definitely Fulfill in Creativity,"{0: 0.036, 1: 0.2443, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.4336, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",8,Healthy Meal Planning
u145p2,Tarot card meanings,"{0: 0.2466, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.2238, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.221, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",0,Document Summarization
u101p9,Translate a few words from English to Irish for my sons homework,"{0: 0.2466, 1: 0.4548, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",1,Romantic Poem Writing
u189p6,Benefits of Cholesterol,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.2869, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.2799, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",7,Home Network Troubleshooting
u336p6,Who is playing in the NFL finals?,"{0: 0.0457, 1: 0.0427, 2: 0.5762, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u846p1,I heard you are smart.,"{0: 0.3124, 1: 0.3094, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",0,Document Summarization
u776p10,What are the layers of the atmosphere and what makes each one distinct from those immediately above and below it?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.6391, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",17,Science Facts
u581p5,How best to calculate risks,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.5501, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",11,Percentage and Interest Calculation
u608p9,How to make my boyfriend want me more than any other woman he meet,"{0: 0.036, 1: 0.6654, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",1,Romantic Poem Writing
u673p4,Dr Alexander Alekhine and his strange Chess traits,"{0: 0.036, 1: 0.6654, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",1,Romantic Poem Writing
u447p3,how do i get custody to my son while on probation,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.5484, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",12,Email and Application Requests
u780p9,give me an imaginary image of business logo i can use for my dry cleaning business,"{0: 0.0221, 1: 0.0207, 2: 0.0208, 3: 0.277, 4: 0.534, 5: 0.012, 6: 0.0116, 7: 0.0098, 8: 0.0077, 9: 0.0085, 10: 0.0088, 11: 0.0081, 12: 0.0073, 13: 0.0069, 14: 0.0069, 15: 0.0066, 16: 0.0064, 17: 0.0046, 18: 0.0048, 19: 0.0041, 20: 0.0041, 21: 0.004, 22: 0.0033, 23: 0.0, 24: 0.0}",4,YouTube Video Metadata
u768p2,Best way to avoid knots when embroidery,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.5536, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",7,Home Network Troubleshooting
u565p5,What does a 1% portion of -$1000 equal to?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.5582, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",5,Career and Education Planning
u404p7,what foods are bad for dogs?,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.5, 6: 0.0, 7: 0.0, 8: 0.5, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",5,Career and Education Planning
u618p9,How do I troubleshoot a slow internet connection at home?,"{0: 0.0254, 1: 0.0238, 2: 0.0238, 3: 0.0212, 4: 0.0194, 5: 0.0138, 6: 0.0133, 7: 0.7536, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",7,Home Network Troubleshooting
u660p2,how can i make my player go faster in pixel gun?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.5501, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",11,Percentage and Interest Calculation
